jigyosho_number,facility_name,corp_name,corp_number,corp_type,prefecture,service_name,accounting_type,doc_type,url,status,file
0475104204,ＮＰＯ仙台介護支援の会,特定非営利活動法人国際福祉ネットみやぎ・２１,4370005002653,NPO法人,宮城県,訪問介護,,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/04/0475104204_00_110/IncomeStatementFile/kouhyou/1.pdf?1743148133,ok(106KB),NPO法人\0475104204_PL.pdf
0770104156,ヘルパーステーション　エルタの風,特定非営利活動法人エルタ,3380005002224,NPO法人,福島県,訪問介護,NPO法人,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770104156_00_110/IncomeStatementFile/kouhyou/1.pdf?1739859477,ok(85KB),NPO法人\0770104156_PL.pdf
0770104156,ヘルパーステーション　エルタの風,特定非営利活動法人エルタ,3380005002224,NPO法人,福島県,訪問介護,NPO法人,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770104156_00_110/BalanceSheetsFile/kouhyou/1.pdf?1739859477,ok(69KB),NPO法人\0770104156_BS.pdf
0871500245,デイドリーム,特定非営利活動法人デイドリーム,3050005007264,NPO法人,茨城県,訪問介護,法人税法による会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0871500245_00_110/IncomeStatementFile/kouhyou/1.pdf?1747813168,ok(227KB),NPO法人\0871500245_PL.pdf
0871500245,デイドリーム,特定非営利活動法人デイドリーム,3050005007264,NPO法人,茨城県,訪問介護,法人税法による会計基準,CF,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0871500245_00_110/CashFlowFile/kouhyou/1.pdf?1747813168,ok(297KB),NPO法人\0871500245_CF.pdf
0871500245,デイドリーム,特定非営利活動法人デイドリーム,3050005007264,NPO法人,茨城県,訪問介護,法人税法による会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0871500245_00_110/BalanceSheetsFile/kouhyou/1.pdf?1747813168,ok(123KB),NPO法人\0871500245_BS.pdf
0872201090,特定非営利活動法人　はーとふる,特定非営利活動法人はーとふる,5050005013005,NPO法人,茨城県,訪問介護,財務会計,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0872201090_00_110/IncomeStatementFile/kouhyou/1.pdf?1744600922,ok(61KB),NPO法人\0872201090_PL.pdf
0872201090,特定非営利活動法人　はーとふる,特定非営利活動法人はーとふる,5050005013005,NPO法人,茨城県,訪問介護,財務会計,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0872201090_00_110/BalanceSheetsFile/kouhyou/1.pdf?1744600922,ok(61KB),NPO法人\0872201090_BS.pdf
1070102478,訪問介護かけはし,特定非営利活動法人　かけはし,9070005001210,NPO法人,群馬県,訪問介護,NPO法人会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/10/1070102478_00_110/IncomeStatementFile/kouhyou/1.pdf?1745802602,ok(624KB),NPO法人\1070102478_PL.pdf
1070102478,訪問介護かけはし,特定非営利活動法人　かけはし,9070005001210,NPO法人,群馬県,訪問介護,NPO法人会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/10/1070102478_00_110/BalanceSheetsFile/kouhyou/1.pdf?1745802602,ok(513KB),NPO法人\1070102478_BS.pdf
0770104396,ヘルパーステーションひだまり,福島医療生活協同組合,8380005000495,その他法人,福島県,訪問介護,生協会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770104396_00_110/IncomeStatementFile/kouhyou/1.pdf?1738650683,ok(62KB),その他法人\0770104396_PL.pdf
0770104396,ヘルパーステーションひだまり,福島医療生活協同組合,8380005000495,その他法人,福島県,訪問介護,生協会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770104396_00_110/BalanceSheetsFile/kouhyou/1.pdf?1738650683,ok(123KB),その他法人\0770104396_BS.pdf
0770701027,いきいきケアセンター,ふくしま共生センター,3380005010557,その他法人,福島県,訪問介護,NPO法人会計,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770701027_00_110/IncomeStatementFile/kouhyou/1.pdf?1738820377,ok(346KB),その他法人\0770701027_PL.pdf
0770701027,いきいきケアセンター,ふくしま共生センター,3380005010557,その他法人,福島県,訪問介護,NPO法人会計,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/07/0770701027_00_110/BalanceSheetsFile/kouhyou/1.pdf?1738820377,ok(197KB),その他法人\0770701027_BS.pdf
0870104635,訪問介護サービスセンター　アテンドハウス・ウエスト,北養会,5050005000531,その他法人,茨城県,訪問介護,事業活動計算書、資金収支計算書、貸借対照表,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0870104635_00_110/IncomeStatementFile/kouhyou/1.pdf?1745463840,ok(103KB),その他法人\0870104635_PL.pdf
0870104635,訪問介護サービスセンター　アテンドハウス・ウエスト,北養会,5050005000531,その他法人,茨城県,訪問介護,事業活動計算書、資金収支計算書、貸借対照表,CF,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0870104635_00_110/CashFlowFile/kouhyou/1.pdf?1745463840,ok(73KB),その他法人\0870104635_CF.pdf
0870104635,訪問介護サービスセンター　アテンドハウス・ウエスト,北養会,5050005000531,その他法人,茨城県,訪問介護,事業活動計算書、資金収支計算書、貸借対照表,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0870104635_00_110/BalanceSheetsFile/kouhyou/1.pdf?1745463840,ok(37KB),その他法人\0870104635_BS.pdf
0875200735,アンダンテ神栖訪問介護,(株)はーとケアサービス,8040001091060,その他法人,茨城県,訪問介護,,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/08/0875200735_00_110/IncomeStatementFile/kouhyou/1.pdf?1750319734,ok(32KB),その他法人\0875200735_PL.pdf
1070106503,ＪＡ前橋市訪問介護事業所,前橋市農業協同組合,7070005000924,その他法人,群馬県,訪問介護,農協会計基準,PL,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/10/1070106503_00_110/IncomeStatementFile/kouhyou/1.pdf?1745802589,ok(138KB),その他法人\1070106503_PL.pdf
1070106503,ＪＡ前橋市訪問介護事業所,前橋市農業協同組合,7070005000924,その他法人,群馬県,訪問介護,農協会計基準,BS,https://www.kaigokensaku.mhlw.go.jp/upload/jigyosyofile/10/1070106503_00_110/BalanceSheetsFile/kouhyou/1.pdf?1745802589,ok(68KB),その他法人\1070106503_BS.pdf
