事業所番号,サービスコード,BS,CF,uneiページURL
3151180209,430,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3151180209-00&ServiceCd=430
3151480286,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3151480286-00&ServiceCd=140
3151580044,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3151580044-00&ServiceCd=140
3151580192,220,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_008_unei=true&JigyosyoCd=3151580192-00&ServiceCd=220
3160190025,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160190025-00&ServiceCd=130
3160190116,130,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160190116-00&ServiceCd=130
3160190207,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160190207-00&ServiceCd=130
3160190223,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160190223-00&ServiceCd=130
3160190264,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160190264-00&ServiceCd=130
3160290189,130,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160290189-00&ServiceCd=130
3160290239,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160290239-00&ServiceCd=130
3160290338,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160290338-00&ServiceCd=130
3160290346,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160290346-00&ServiceCd=130
3160290544,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160290544-00&ServiceCd=130
3160390120,130,,有,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3160390120-00&ServiceCd=130
3170100253,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170100253-00&ServiceCd=150
3170100402,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170100402-00&ServiceCd=410
3170100402,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170100402-00&ServiceCd=170
3170100568,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170100568-00&ServiceCd=430
3170100667,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170100667-00&ServiceCd=780
3170100741,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170100741-00&ServiceCd=430
3170100881,150,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170100881-00&ServiceCd=150
3170100956,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170100956-00&ServiceCd=170
3170101186,320,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_022_unei=true&JigyosyoCd=3170101186-00&ServiceCd=320
3170101368,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170101368-00&ServiceCd=780
3170101475,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170101475-00&ServiceCd=430
3170101483,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170101483-00&ServiceCd=780
3170101665,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170101665-00&ServiceCd=110
3170101731,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170101731-00&ServiceCd=780
3170101897,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170101897-00&ServiceCd=110
3170101988,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170101988-00&ServiceCd=150
3170101962,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170101962-00&ServiceCd=780
3170101996,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170101996-00&ServiceCd=430
3170102226,120,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_002_unei=true&JigyosyoCd=3170102226-00&ServiceCd=120
3170102390,110,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170102390-00&ServiceCd=110
3170102390,150,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170102390-00&ServiceCd=150
3170102440,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170102440-00&ServiceCd=110
3170102481,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170102481-00&ServiceCd=780
3170102515,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170102515-00&ServiceCd=780
3170102572,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3170102572-00&ServiceCd=140
3170102572,130,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_004_unei=true&JigyosyoCd=3170102572-00&ServiceCd=130
3170102606,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170102606-00&ServiceCd=780
3170102747,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170102747-00&ServiceCd=170
3170102721,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170102721-00&ServiceCd=780
3170102747,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170102747-00&ServiceCd=410
3170102861,140,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_005_unei=true&JigyosyoCd=3170102861-00&ServiceCd=140
3170102945,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3170102945-00&ServiceCd=210
3170103034,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103034-00&ServiceCd=110
3170103091,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103091-00&ServiceCd=150
3170103141,210,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_007_unei=true&JigyosyoCd=3170103141-00&ServiceCd=210
3170103356,780,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_028_unei=true&JigyosyoCd=3170103356-00&ServiceCd=780
3170103521,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170103521-00&ServiceCd=430
3170103638,110,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103638-00&ServiceCd=110
3170103646,150,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103646-00&ServiceCd=150
3170103737,150,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103737-00&ServiceCd=150
3170103869,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103869-00&ServiceCd=150
3170103901,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170103901-00&ServiceCd=150
3170103984,170,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_006_unei=true&JigyosyoCd=3170103984-00&ServiceCd=170
3170103984,410,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_010_unei=true&JigyosyoCd=3170103984-00&ServiceCd=410
3170104081,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104081-00&ServiceCd=150
3170104214,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104214-00&ServiceCd=110
3170104164,331,有,有,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_014_unei=true&JigyosyoCd=3170104164-00&ServiceCd=331
3170104180,110,,有,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104180-00&ServiceCd=110
3170104255,110,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104255-00&ServiceCd=110
3170104271,430,有,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170104271-00&ServiceCd=430
3170104289,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170104289-00&ServiceCd=430
3170104305,110,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104305-00&ServiceCd=110
3170104339,150,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_001_unei=true&JigyosyoCd=3170104339-00&ServiceCd=150
3170104321,430,,,https://www.kaigokensaku.mhlw.go.jp/31/index.php?action_kouhyou_detail_023_unei=true&JigyosyoCd=3170104321-00&ServiceCd=430
