3110112053,160,
3110112921,140,
3110113945,160,
3110112129,130,
3110212606,780,
3110212184,160,
3110213521,140,
3110311473,130,
3111510016,230,
3111510511,140,
3111510743,160,
3111510743,430,
3111510511,160,
3111610162,140,
3111610162,130,
3111610162,160,
3111610352,130,
3150180234,220,
3150180309,140,
3150280059,220,
3150280117,140,
3150280174,150,
3150280265,140,
3150280281,160,
3150280281,220,
3150280281,520,
3150280315,220,
3150280323,220,
3150280315,520,
3150280331,160,
3150280356,220,
3150380024,140,
3150380107,140,
3150480246,140,
3150480261,140,
3150480261,220,
3151180209,160,
3151180209,220,BS
3151180209,520,BS
3151180209,430,BS
3151480286,140,
3151580044,140,
3151580192,220,
3160190025,130,
3160190116,130,BS
3160190207,130,
3160190223,130,
3160190264,130,
3160290189,130,BS
3160290239,130,
3160290338,130,
3160290346,130,
3160290544,130,
3160390120,130,CF
3170100253,150,
3170100402,410,
3170100402,170,
3170100568,430,
3170100667,780,
3170100741,430,
3170100881,150,BS
3170100956,170,
3170101186,320,BS
3170101368,780,
3170101475,430,
3170101483,780,
3170101665,110,
3170101731,780,
3170101897,110,
3170101988,150,
3170101962,780,
3170101996,430,
3170102226,120,
3170102390,110,BS
3170102390,150,BS
3170102440,110,
3170102481,780,
3170102515,780,
3170102572,140,
3170102572,130,
3170102606,780,
3170102747,170,
3170102721,780,
3170102747,410,
3170102861,140,
3170102945,210,
3170103034,110,
3170103091,150,
3170103141,210,
3170103356,780,
3170103521,430,
3170103638,110,BS
3170103646,150,BS
3170103737,150,BS
3170103869,150,
3170103901,150,
3170103984,170,
3170103984,410,
3170104081,150,
3170104214,110,
3170104164,331,BSCF
3170104180,110,CF
3170104255,110,BS
3170104271,430,BS
3170104289,430,
3170104305,110,
3170104339,150,
3170104321,430,
3170104347,110,
3170104370,430,
3170104388,150,
3170200020,110,BS
3170200350,110,
3170200418,150,
3170200574,430,
3170201168,720,
3170201655,430,
3170201945,780,BS
3170201937,150,
3170201986,780,
3170202026,170,
3170202026,410,
3170202042,780,
3170202323,780,
3170202380,430,
3170202489,780,
3170202562,140,
3170202513,780,
3170202596,780,
3170202653,220,
3170202687,410,
3170202687,170,
3170202679,430,
3170202695,170,
3170202695,410,
3170202828,150,
3170202968,170,
3170202950,140,
3170202968,410,
3170203024,170,
3170203024,410,
3170203180,110,
3170203289,110,
3170203354,331,
3170203370,210,
3170203362,331,
3170203370,510,
3170300101,720,
3170300259,430,CF
3170300432,430,
3170300507,430,BS
3170300713,780,
3170300754,780,
3170300762,780,
3170300796,780,
3170300929,150,
3170300960,780,
3170400364,410,
3170400356,210,
3170400364,170,
3171100104,320,
3171100112,320,
3171100120,780,
3171200052,430,
3171200359,150,
3171200490,430,
3171200532,780,
3171200540,210,
3171200615,430,
3171200623,210,
3171400371,170,
3171400371,410,
3171400553,780,
3171400512,150,
3171400801,150,
3171400959,220,
3171400967,430,
3171401031,110,BS
3171401056,210,
3171401098,430,
3171401056,510,
3171500105,170,
3171500105,410,
3171500378,430,
3171500881,110,
3171600277,210,
3171600350,150,
3171600376,780,
3171600434,220,
3181400031,110,
3190100218,720,BS
3190100267,720,BS
3190100309,730,
3190100606,730,
3190100754,780,
3190100747,320,
3190100788,770,
3190100879,320,
3190200216,320,
3190200208,760,
3190200232,770,BS
3190200323,780,
3190200539,730,
3190200604,780,
3190200703,780,
3190200760,780,
3190200778,780,
3190200794,361,
3190200802,320,
3190400113,780,BS
3191100035,780,
3191200116,780,
3191200090,780,
3191400013,320,
3191400013,720,
3191400013,730,
3191400096,730,
3191400120,720,
3191400161,780,
3191400187,780,
31B0100056,551,
31B0300011,551,
31B0400019,550,
31B1500049,551,
